    lat    lon     lam1     lam2     lam3    V1_Up     V1_E     V1_N    V2_Up     V2_E     V2_N    V3_Up     V3_E     V3_N
  -15.0  -75.0   2.0316  0.86526  0.56488  0.07167  0.93919  0.33584 -0.05379 -0.33258  0.94154 -0.99598  0.08555 -0.02668
  -15.0  -80.0   2.2649  0.80498  0.54469 -0.09025 -0.94140 -0.32499  0.10577  0.31542 -0.94304 -0.99029  0.11948 -0.07111
  -15.0  -85.0   2.7855  0.71606  0.49798 -0.05774 -0.93502 -0.34985 -0.02731  0.35178 -0.93568 -0.99796  0.04447  0.04585
  -15.0  -90.0   3.4821  0.62469  0.45630 -0.00476  0.93123  0.36440  0.24467 -0.35225  0.90336 -0.96959 -0.09345  0.22617
  -15.0  -95.0   3.7305  0.60495  0.43977 -0.08523  0.91987  0.38285  0.50710 -0.29071  0.81138 -0.85766 -0.26330  0.44169
  -15.0    0.0   4.3687  1.04835  0.21692 -0.02171  0.99936 -0.02847 -0.18244  0.02404  0.98292  0.98298  0.02653  0.18180
  -15.0   10.0   5.7971  0.78314  0.21869  0.06378  0.98551 -0.15714 -0.11250  0.16356  0.98010  0.99160 -0.04483  0.12130
  -15.0  100.0   2.2638  0.88240  0.49574  0.21548 -0.24930  0.94415  0.29517 -0.90501 -0.30633  0.93083  0.34469 -0.12142
  -15.0  105.0    6.723  1.16536  0.12832  0.00062 -0.16233 -0.98674 -0.59214  0.79509 -0.13118  0.80584  0.58436 -0.09563
  -15.0  110.0   2.4269  0.70967  0.57684  0.02627  0.28940  0.95685 -0.12916 -0.94817  0.29032 -0.99128  0.13121 -0.01247
  -15.0  115.0   1.9297  0.95633  0.53834 -0.02212 -0.57350 -0.81891  0.09755  0.81396 -0.57267 -0.99498  0.09255 -0.03794
  -15.0  120.0   1.9667  0.95953  0.52510 -0.01391 -0.73954 -0.67297 -0.05484 -0.67146  0.73901  0.99840 -0.04718  0.03122
  -15.0  125.0   1.9826  0.91234  0.54815 -0.04339  0.78669  0.61582 -0.00517  0.61622 -0.78756  0.99904  0.03735  0.02267
